symbol,name,moneyflow incoming ratio (%),price change ratio (%),turnover,superbig_angle
sh600271,航天信息,-11.159507512961232,3.7560700000000002,179.388,-68.8404
sh600272,开开实业,7.977381018794369,3.62631,188.741,51.7455
sh600273,嘉化能源,-12.216949760226573,1.28388,149.782,-79.387
sh600276,恒瑞医药,-10.179299259345084,2.4515,67.6201,-59.6249
sh600277,亿利能源,-14.302882995881758,1.27157,115.165,-44.5732
sh600278,东方创业,13.652529727112196,3.07782,74.8501,51.2326
sh600279,重庆港九,1.529672683970002,4.84293,276.52,-34.486
sh600281,太化股份,-1.6923594612134933,1.95865,212.567,30.0783
sh600282,南钢股份,11.78802690578705,0.760456,131.345,77.0513
sh600283,钱江水利,5.74039650298579,1.8987299999999998,326.56,61.7762
sh600284,浦东建设,-3.7797313158538035,2.1811000000000003,223.847,-63.9578
sh600285,羚锐制药,-9.282880918259444,0.378788,440.992,-68.1131
sh600287,江苏舜天,-8.68937241755751,0.615174,171.687,-52.3858
sh600288,大恒科技,-2.119923527435928,4.89671,189.565,-48.6994
sh600289,亿阳信通,9.614087099464092,4.13943,628.087,68.7411
sh600290,华仪电气,-4.155689383549325,2.31516,182.707,-68.1543
sh600291,西水股份,-8.000744647970162,-1.50932,307.634,-99.094
sh600292,中电远达,-9.09393815542592,2.62318,133.004,1.13466
sh600295,鄂尔多斯,2.793100057276654,1.83888,104.945,-77.9351
sh600298,安琪酵母,-1.6904825581665495,0.918164,105.765,74.7822
sh600299,蓝星新材,6.445450466188725,7.98669,153.633,30.1841
sh600300,维维股份,-7.324794649191328,-0.7829980000000001,506.944,-98.2175
sh600302,标准股份,-4.613866978606056,1.45587,149.078,-38.2552
sh600305,恒顺醋业,-9.418512134303839,0.231303,99.2129,-88.0116
sh600306,商业城,10.793271013256872,8.71658,435.826,16.8566
sh600307,酒钢宏兴,-5.839935001724087,-1.8656699999999997,254.616,-144.966
sh600308,华泰股份,-4.24289831726276,1.9064100000000002,155.052,-72.8316
sh600309,万华化学,-19.342199026676607,0.207039,78.5446,-88.0591
sh600310,桂东电力,-23.750130757360346,-0.74551,106.091,-93.0757
sh600311,荣华实业,-3.8457549784846057,2.20674,283.986,-42.6677
sh600312,平高电气,9.563617836270584,2.0683,183.59,78.4947
sh600313,农发种业,4.795350802676622,2.07101,152.413,54.0942
sh600315,上海家化,-24.481176171537662,0.290114,121.719,-88.9977
sh600316,洪都航空,-3.289123705977966,1.41901,230.279,-26.6887
sh600317,营口港,4.377423355157032,2.44328,144.682,-58.7871
sh600318,巢东股份,11.784290489886779,5.429860000000001,429.221,34.9096
sh600320,振华重工,-4.31312798051951,2.06311,132.856,-30.0375
sh600321,国栋建设,-2.5915904124486704,2.11726,252.252,-62.2975
sh600322,天房发展,7.264140896397062,2.18341,316.168,49.8834
sh600323,瀚蓝环境,-10.413240288403953,1.36314,168.959,-65.8223
sh600325,华发股份,-1.4980855488588807,2.48175,231.527,-57.8161
sh600326,西藏天路,-6.709115348257599,1.02941,184.718,50.3322
sh600327,大东方,-8.887790152866264,0.161551,181.498,-89.3803
sh600328,兰太实业,16.110344141101116,5.48554,250.275,70.4608
sh600329,中新药业,18.756270981775955,4.28135,170.019,71.702
sh600330,天通股份,-12.03471617611603,0.0,518.052,-90.0
sh600331,宏达股份,0.3703685498238344,2.25653,178.228,-37.4257
sh600332,白云山,-12.340630436573349,1.63043,85.8974,-50.5553
sh600333,长春燃气,9.67156384889533,1.4548999999999999,189.957,57.3482
sh600335,国机汽车,-12.026666959169368,-0.204988,69.2984,-92.1576
sh600336,澳柯玛,-2.299454458364001,3.7667100000000002,170.212,-1.02339
sh600337,美克家居,-14.031743369380026,3.8062300000000002,145.703,-64.9125
sh600338,西藏珠峰,-6.362965673512293,-0.784998,504.996,-115.381
sh600339,天利高新,-1.6004925655786921,1.3800400000000002,360.745,-21.6863
sh600340,华夏幸福,-4.436159956894243,0.40568000000000004,92.245,-52.5907
sh600343,航天动力,15.005829511249749,2.3205799999999996,205.021,79.6719
sh600345,长江通信,2.092750842908257,3.5645499999999997,168.885,29.657
sh600348,阳泉煤业,-17.825894350775652,0.0,158.308,-90.0
sh600350,山东高速,-11.450204538530766,2.0297699999999996,45.4212,-72.9361
sh600351,亚宝药业,-5.82043807136163,2.56616,200.824,-65.3674
sh600352,浙江龙盛,-8.864860197489026,1.35318,184.209,-79.0861
sh600353,旭光股份,7.663888362823984,4.45205,319.897,30.021
sh600354,敦煌种业,-4.667196036444555,2.28401,227.624,-4.61225
sh600355,精伦电子,7.046964090139239,1.25628,346.712,60.3724
sh600356,恒丰纸业,-5.37057004310006,-0.08077540000000001,262.997,-100.074
sh600358,国旅联合,2.7619667284713865,1.09091,293.847,-39.878
sh600359,新农开发,7.091986380641539,2.01192,98.4578,0.0
sh600360,华微电子,2.426695067688983,2.54692,244.152,45.4197
sh600361,华联综超,-1.7787608579765084,3.52332,169.048,-43.7113
sh600362,江西铜业,3.192986546094371,1.6986999999999999,165.181,73.99
sh600363,联创光电,8.109011152202033,3.62448,317.0,47.4671
sh600365,通葡股份,-2.180170971529277,3.45019,471.438,-53.8588
sh600366,宁波韵升,-1.1209598809942312,1.74306,272.663,-51.2266
sh600367,红星发展,1.6394554241235002,2.1865900000000003,164.683,-52.6653
sh600368,五洲交通,10.23057189094264,3.07076,205.767,-0.841416
sh600369,西南证券,-0.43808059446360265,0.7976489999999999,137.391,19.0137
sh600370,三房巷,4.6462131839909135,4.12088,161.446,46.2093
sh600371,万向德农,-2.9217658406062808,3.42052,541.113,-22.9589
sh600372,中航电子,6.895263963680141,1.44139,89.3936,80.224
sh600373,中文传媒,1.9690113836566447,2.41737,88.659,64.2086
sh600375,华菱星马,-6.340696693186598,0.182704,296.806,-88.5041
sh600376,首开股份,-1.2027043431799471,1.3024600000000002,391.268,-34.7964
sh600377,宁沪高速,4.555727839017988,1.67064,19.6161,-35.418
sh600378,天科股份,2.2454138340487138,2.22613,89.5776,0.0
sh600379,宝光股份,-9.766706045219578,4.2581500000000005,166.27,-64.8498
sh600380,健康元,10.220396101509174,2.90557,268.616,71.7118
sh600381,贤成矿业,4.157301695879838,7.492799999999999,250.423,-24.2865
sh600383,金地集团,-4.5847744844267755,-0.373972,128.942,-108.643
sh600385,山东金泰,1.9672475202548672,2.69163,153.618,51.6817
sh600386,北巴传媒,-2.6190058878900317,1.49558,121.75,76.5097
sh600387,海越股份,-3.703041323886766,0.188058,186.489,-85.6773
sh600388,龙净环保,7.098712435770495,3.21865,273.923,57.4563
sh600389,江山股份,2.6390587856040377,0.970874,71.2819,80.4282
sh600390,金瑞科技,-1.6443745961877376,1.77398,280.437,-71.485
sh600391,成发科技,-8.760173004259613,-0.24294500000000002,243.427,-91.7441
sh600392,盛和资源,-12.348510499789315,0.737554,335.819,-85.1049
sh600393,东华实业,3.5017297312804097,2.00191,112.912,-56.8846
sh600395,盘江股份,-12.82964592006451,0.408497,82.8117,32.8982
sh600396,金山股份,-3.5384985005367318,2.64484,186.854,48.8232
sh600397,安源煤业,1.9256975173528972,2.09581,327.332,32.6601
sh600398,海澜之家,-14.699816054994482,0.645578,47.1101,78.144
sh600399,抚顺特钢,3.8654083634022784,6.96706,408.192,33.7564
sh600400,红豆股份,-1.4845739576151313,0.899281,179.307,73.138
sh600403,大有能源,-6.3985728033010405,1.87919,27.2815,-51.7941
sh600405,动力源,12.830929120692941,6.410259999999999,938.33,67.5893
sh600406,国电南瑞,-5.6367921873387825,2.4208600000000002,183.357,10.631
sh600409,三友化工,5.567002364508789,1.0044600000000001,164.622,22.5664
sh600410,华胜天成,9.060220697925814,2.13816,578.641,73.617
sh600415,小商品城,15.5173386335282,3.7431,132.986,73.771
sh600416,湘电股份,6.143836546030972,2.95481,81.7828,59.4964
sh600418,江淮汽车,9.341245574537421,3.1556800000000003,302.65,72.988
sh600419,天润乳业,13.705513000712171,3.6925399999999997,191.667,72.6356
sh600420,现代制药,8.693951863390609,3.34262,83.8577,68.5558
sh600421,仰帆控股,18.06203499517245,4.35038,151.099,56.4752
sh600422,昆药集团,0.31920463274307687,0.862334,93.3203,74.1675
sh600423,柳化股份,2.8013425008452395,0.626959,98.9338,77.0505
sh600425,青松建化,10.59406824171658,2.19653,124.11,63.5616
sh600426,华鲁恒升,4.216056402361078,2.43902,213.008,30.7901
sh600428,中远航运,-8.421713559655277,1.91388,268.106,-71.4504
sh600429,三元股份,-5.432280861585875,0.58651,85.37,-85.8194
sh600432,吉恩镍业,9.090275865050225,3.08275,186.206,73.4087
sh600433,冠豪高新,6.950231821883388,0.346021,76.7236,86.2638
sh600435,北方导航,1.32489765266013,2.1096,273.089,-19.0178
sh600436,片仔癀,-4.395343806291765,0.960589,159.812,-71.345
sh600438,通威股份,41.9255383752978,9.963099999999999,1.24546,0.0
sh600439,瑞贝卡,4.021571725423357,2.8700900000000003,171.199,26.4466
sh600446,金证股份,14.218970141528695,7.32479,174.349,62.2781
sh600448,华纺股份,9.612119927694925,4.22195,256.664,42.0515
sh600449,宁夏建材,-6.42122282762148,1.30168,138.422,-70.6846
sh600452,涪陵电力,-6.673312377246038,0.130662,210.089,84.2943
sh600455,博通股份,-13.710121828518194,0.48848600000000003,316.48,-86.1343
sh600456,宝钛股份,0.23407982258168125,1.18473,111.004,19.8978
sh600458,时代新材,-5.687290089875685,1.41326,137.231,-59.133
sh600459,贵研铂业,-1.7662773266231688,2.7647999999999997,188.409,-12.059
sh600460,士兰微,8.49182417886893,2.74791,191.239,31.6098
sh600462,石岘纸业,9.807373894022744,4.12574,161.906,20.3768
sh600463,空港股份,12.361060448088862,4.84551,198.457,52.8247
sh600466,蓝光发展,7.833737806147595,5.0,213.773,53.457
sh600467,好当家,7.4795572693281605,2.83601,179.937,67.5409
sh600468,百利电气,-8.426987439704162,2.88214,81.7871,-60.3606
