symbol,name,big in(%),small in(%),price(%),big/price,turnover
sz000100,TCL 集团,17.6,0.9,7.25,593.591,2.43
sz000605,渤海股份,18.0,2.1,7.4,218.769,2.43
sh601608,中信重工,72.9,190.1,30.0,3.25441,2.43
sz002041,登海种业,27.8,3.0,11.43,138.632,2.43
sh601579,会稽山,18.5,-0.9,7.63,407.519,2.42
sz002466,天齐锂业,21.2,8.4,8.8,311.727,2.41
sh600061,中纺投资,29.7,1.0,12.31,215.952,2.41
sz002522,浙江众成,42.5,4.9,17.74,261.185,2.4
sz000638,万方发展,41.8,6.7,17.39,315.821,2.4
sz000886,海南高速,20.1,11.0,8.37,217.679,2.4
sz002699,美盛文化,60.7,4.2,25.26,404.406,2.4
sh600706,曲江文旅,30.9,7.4,12.91,210.354,2.39
sh600551,时代出版,20.4,4.5,8.54,152.556,2.39
sz002414,高德红外,32.6,4.1,13.63,205.52,2.39
sz000916,华北高速,26.0,13.7,10.89,814.32,2.39
sz002657,中科金财,47.3,3.3,19.99,372.597,2.37
sz002368,太极股份,28.2,3.3,11.91,303.167,2.37
sz002117,东港股份,40.7,-5.0,17.25,365.041,2.36
sz002729,好利来,45.0,12.7,19.05,355.964,2.36
sz002295,精艺股份,47.5,-3.7,20.3,697.132,2.34
sz000629,攀钢钒钛,17.2,7.7,7.37,396.958,2.33
sh600563,法拉电子,8.6,1.5,3.7,265.706,2.32
sh603368,柳州医药,42.5,6.7,18.34,541.232,2.32
sh600133,东湖高新,35.1,-0.7,15.22,479.356,2.31
sh600298,安琪酵母,18.2,2.4,7.91,230.561,2.3
sz002018,华信国际,34.7,6.5,15.07,396.275,2.3
sz002113,天润控股,32.4,1.9,14.08,537.256,2.3
sz002013,中航机电,25.0,-6.9,10.88,308.828,2.3
sh600745,中茵股份,41.2,4.3,17.88,415.588,2.3
sh600446,金证股份,41.9,2.3,18.24,235.71,2.3
sh600186,莲花味精,31.5,6.2,13.71,268.717,2.3
sz002261,拓维信息,49.5,3.9,21.49,1200.15,2.3
sh601866,中海集运,13.2,0.0,5.8,332.416,2.28
sh600884,杉杉股份,38.5,3.0,16.86,487.313,2.28
sz002339,积成电子,52.1,19.5,22.82,353.077,2.28
sh600582,天地科技,12.3,-11.0,5.41,63.4543,2.27
sh600588,用友网络,43.9,0.2,19.35,659.782,2.27
sh601198,东兴证券,20.9,0.0,9.22,632.21,2.27
sh603969,银龙股份,28.9,1.1,12.73,719.307,2.27
sz002032,苏 泊 尔,11.3,9.1,4.99,56.5123,2.26
sz002334,英威腾,35.0,11.9,15.59,384.177,2.25
sh603899,晨光文具,32.6,-3.3,14.48,616.632,2.25
sh601877,正泰电器,13.0,2.4,5.78,65.0263,2.25
sz002214,大立科技,20.1,11.5,8.94,291.737,2.25
sz002487,大金重工,51.7,7.1,23.01,1017.78,2.25
sz000998,隆平高科,37.0,3.5,16.49,214.877,2.24
sz000610,西安旅游,27.7,0.8,12.47,265.982,2.22
sz000667,美好集团,30.9,14.1,13.98,564.107,2.21
sz000576,广东甘化,31.8,7.7,14.4,606.721,2.21
sz002603,以岭药业,17.7,-2.4,8.02,253.079,2.21
sz000976,*ST春晖,13.9,6.3,6.31,168.159,2.2
sh600512,腾达建设,47.7,13.6,21.7,520.188,2.2
sh603636,南威软件,45.6,11.0,20.73,1335.38,2.2
sh603898,好莱客,51.6,7.4,23.53,1421.23,2.19
sz000997,新 大 陆,36.1,4.8,16.52,392.877,2.19
sz002423,中原特钢,13.9,11.7,6.37,120.621,2.18
sh600958,东方证券,13.0,0.3,5.98,875.788,2.17
sz002186,全 聚 德,12.4,0.3,5.73,99.5511,2.16
sh600567,山鹰纸业,15.9,6.0,7.4,582.131,2.15
sh600493,凤竹纺织,36.1,-1.5,16.77,375.108,2.15
sz002269,美邦服饰,23.7,4.3,11.01,187.589,2.15
sz000078,海王生物,36.5,7.4,16.94,519.218,2.15
sz002743,富煌钢构,35.9,1.0,16.72,800.47,2.15
sz000551,创元科技,16.2,1.8,7.56,214.636,2.14
sh603128,华贸物流,37.3,4.3,17.42,304.432,2.14
sh600855,航天长峰,14.9,4.3,6.98,240.383,2.13
sh600023,浙能电力,12.7,1.8,5.96,1087.65,2.13
sz000819,岳阳兴长,27.6,5.8,13.02,383.791,2.12
sh601558,华锐风电,36.8,9.2,17.41,642.44,2.11
sz000635,英 力 特,19.0,-12.3,9.04,165.4,2.1
sh600692,亚通股份,25.9,8.1,12.31,569.165,2.1
sz002256,彩虹精化,32.8,3.9,15.65,295.937,2.1
sh600126,杭钢股份,17.9,-3.0,8.52,147.404,2.1
sz000977,浪潮信息,29.3,2.2,14.02,622.798,2.09
sh601005,重庆钢铁,13.2,8.5,6.33,558.176,2.09
sz002497,雅化集团,29.4,13.3,14.05,325.833,2.09
sz002223,鱼跃医疗,35.1,3.3,16.78,677.022,2.09
sz002674,兴业科技,19.9,-3.5,9.58,255.053,2.08
sh600223,鲁商置业,17.2,4.5,8.28,125.186,2.08
sh600570,恒生电子,38.6,0.6,18.56,447.997,2.08
sz002323,中联电气,56.4,7.9,27.2,349.757,2.07
sh603168,莎普爱思,24.2,3.6,11.68,739.373,2.07
sh600221,海南航空,28.6,0.7,13.85,547.897,2.06
sh600505,西昌电力,6.3,-4.1,3.06,301.728,2.06
